,,,Sqft,Rate,Rate+GST,Online Price,List Price
,24,96,16,400,420,5376,6720
,24,102,17,400,420,5712,7140
,24,108,18,400,420,6048,7560
,24,114,19,400,420,6384,7980
,24,120,20,400,420,6720,8400
,24,126,21,400,420,7056,8820
,24,132,22,400,420,7392,9240
,24,138,23,400,420,7728,9660
,24,144,24,400,420,8064,10080
,36,0,0,400,420,0,0
,36,48,12,400,420,4032,5040
,36,54,13.5,400,420,4536,5670
,36,60,15,400,420,5040,6300
,36,66,16.5,400,420,5544,6930
,36,72,18,400,420,6048,7560
,36,78,19.5,400,420,6552,8190
,36,84,21,400,420,7056,8820
,36,90,22.5,400,420,7560,9450
,36,96,24,400,420,8064,10080
,36,102,25.5,400,420,8568,10710
,36,108,27,400,420,9072,11340
,36,114,28.5,400,420,9576,11970
,36,120,30,400,420,10080,12600
,36,126,31.5,400,420,10584,13230
,36,132,33,400,420,11088,13860
,36,138,34.5,400,420,11592,14490
,36,144,36,400,420,12096,15120
,48,0,0,400,420,0,0
,48,48,16,400,420,5376,6720
,48,54,18,400,420,6048,7560
,48,60,20,400,420,6720,8400
,48,66,22,400,420,7392,9240
,48,72,24,400,420,8064,10080
,48,78,26,400,420,8736,10920
,48,84,28,400,420,9408,11760
,48,90,30,400,420,10080,12600
,48,96,32,400,420,10752,13440
,48,102,34,400,420,11424,14280
,48,108,36,400,420,12096,15120
,48,114,38,400,420,12768,15960
,48,120,40,400,420,13440,16800
,48,126,42,400,420,14112,17640
,48,132,44,400,420,14784,18480
,48,138,46,400,420,15456,19320
,48,144,48,400,420,16128,20160
,,,,,,,
,,,,,,,
,,,Sqft,Rate,Rate+GST,Online Price,List Price
Ulticlean,24,0,0,350,367.5,0,0
,24,48,8,350,367.5,1599,1999
,24,54,9,350,367.5,2646,3307
,24,60,10,350,367.5,2940,3675
,24,66,11,350,367.5,3234,4042
,24,72,12,350,367.5,3528,4410
,24,78,13,350,367.5,3822,4777
,24,84,14,350,367.5,4116,5145
,24,90,15,350,367.5,4410,5512
,24,96,16,350,367.5,4704,5880
,24,102,17,350,367.5,4998,6247
,24,108,18,350,367.5,5292,6615
,24,114,19,350,367.5,5586,6982
,24,120,20,350,367.5,5880,7350
,24,126,21,350,367.5,6174,7717
,24,132,22,350,367.5,6468,8085
,24,138,23,350,367.5,6762,8452
,24,144,24,350,367.5,7056,8820
,36,0,0,350,367.5,0,0
,36,48,12,350,367.5,2439,3049
,36,54,13.5,350,367.5,3969,4961
,36,60,15,350,367.5,3049,3812
,36,66,16.5,350,367.5,4851,6063
,36,72,18,350,367.5,5292,6615
,36,78,19.5,350,367.5,5733,7166
,36,84,21,350,367.5,6174,7717
,36,90,22.5,350,367.5,6615,8268
,36,96,24,350,367.5,7056,8820
,36,102,25.5,350,367.5,7497,9371
,36,108,27,350,367.5,7938,9922
,36,114,28.5,350,367.5,8379,10473
,36,120,30,350,367.5,8820,11025
,36,126,31.5,350,367.5,9261,11576
,36,132,33,350,367.5,9702,12127
,36,138,34.5,350,367.5,10143,12678
,36,144,36,350,367.5,10584,13230
,,,,,,,
,,,,,,,
,,,Sqft,Rate,Rate+GST,Online Price,List Price
UltiZig MD,24,0,0,200,236,0,0
,24,48,8,200,236,1510,1887
,24,54,9,200,236,1699,2123
,24,60,10,200,236,1888,2360
,24,66,11,200,236,2076,2595
,24,72,12,200,236,2265,2831
,24,78,13,200,236,2454,3067
,24,84,14,200,236,2643,3303
,24,90,15,200,236,2832,3540
,24,96,16,200,236,3020,3775
,24,102,17,200,236,3209,4011
,24,108,18,200,236,3398,4247
,24,114,19,200,236,3587,4483
,24,120,20,200,236,3776,4720
,24,126,21,200,236,3964,4955
,24,132,22,200,236,4153,5191
,24,138,23,200,236,4342,5427
,24,144,24,200,236,4531,5663
,48,0,0,200,236,0,0
,48,48,16,200,236,3020,3775
,48,54,18,200,236,3398,4247
,48,60,20,200,236,3776,4720
,48,66,22,200,236,4153,5191
,48,72,24,200,236,4531,5663
,48,78,26,200,236,4908,6135
,48,84,28,200,236,5286,6607
,48,90,30,200,236,5664,7080
,48,96,32,200,236,6041,7551
,48,102,34,200,236,6419,8023
,48,108,36,200,236,6796,8495
,48,114,38,200,236,7174,8967
,48,120,40,200,236,7552,9440
,48,126,42,200,236,7929,9911
,48,132,44,200,236,8307,10383
,48,138,46,200,236,8684,10855
,48,144,48,200,236,9062,11327
,,,,,,,
,,,,,,,
,,,Sqft,Rate,Rate+GST,Online Price,List Price
UltiWipe,24,0,0,400,420,0,0
,24,48,8,400,420,2688,3360
,24,54,9,400,420,3024,3780
,24,60,10,400,420,3360,4200
,24,66,11,400,420,3696,4620
